order_id,customer_id,order_date,product_category,product_name,quantity,unit_price,discount_percent,subtotal,shipping_cost,tax_amount,total_amount,payment_method,order_status,shipping_method,order_channel,coupon_code,estimated_delivery_days,customer_rating,return_reason
5160704,591756,2024-02-09,Electronics,Smartphone Case,3,657.86,0,1973.58,0.0,118.41,2091.99,Credit Card,Delivered,Standard,Website,,7,,
7773965,240201,2024-02-10,Toys & Games,Outdoor Water Blaster,2,27.68,0,55.36,5.99,10.52,71.87,Debit Card,Delivered,Standard,Marketplace,,7,,
8682790,957720,2024-02-11,Sports & Outdoors,Yoga Mat,2,170.85,0,341.7,0.0,21.36,363.06,PayPal,Delivered,Standard,Marketplace,,7,5.0,
6224964,139745,2024-02-11,Toys & Games,Outdoor Water Blaster,2,78.75,0,157.5,0.0,10.24,167.74,Debit Card,Delivered,Free Pickup,Mobile App,,0,,
3487025,157373,2024-02-12,Beauty & Personal Care,Shampoo & Conditioner Set,2,10.24,0,20.48,0.0,1.23,21.71,Debit Card,Delivered,Free Pickup,Mobile App,,0,4.0,
5234055,129133,2024-02-12,Grocery,Honey Jar,7,16.76,0,117.32,12.99,7.33,137.64,PayPal,Delivered,Express,Website,,3,5.0,
2561082,781167,2024-02-13,Grocery,Granola Cereal,5,55.0,25,206.25,24.99,12.89,244.13,Credit Card,Delivered,Next-Day,Marketplace,WELCOME10,1,,
7408514,738836,2024-02-14,Clothing,Rain Jacket,4,78.78,0,315.12,0.0,31.51,346.63,Credit Card,Returned,Standard,Mobile App,,7,,Wrong Size
5387967,555402,2024-02-14,Clothing,Women's Yoga Pants,2,22.43,0,44.86,27.99,3.7,76.55,Google Pay,Processing,Next-Day,Mobile App,,1,,
5995816,530251,2024-02-16,Grocery,Pasta Variety Pack,7,51.52,0,360.64,0.0,0.0,360.64,Google Pay,Shipped,Free Pickup,Mobile App,,0,,
6952192,157373,2024-02-17,Pet Supplies,Bird Cage,1,53.69,0,53.69,5.99,4.43,64.11,Debit Card,Returned,Standard,Website,,7,,Arrived Late
7857725,384588,2024-02-17,Electronics,Mechanical Keyboard,1,170.68,0,170.68,12.99,17.07,200.74,Credit Card,Cancelled,Express,Website,,3,,
8733646,206604,2024-02-18,Electronics,4K Smart TV,1,481.72,0,481.72,0.0,30.11,511.83,Debit Card,Delivered,Standard,Website,,7,5.0,
1504087,229422,2024-02-18,Electronics,Wireless Mouse,3,150.05,0,450.15,0.0,29.26,479.41,PayPal,Delivered,Free Pickup,Mobile App,,0,5.0,
1560799,665395,2024-02-19,Home & Kitchen,Air Fryer,5,147.62,0,738.1,24.99,60.89,823.98,Google Pay,Delivered,Next-Day,Mobile App,,1,4.0,
6984283,806986,2024-02-20,Pet Supplies,Dog Bed,2,112.35,0,224.7,0.0,13.48,238.18,Credit Card,Delivered,Standard,Website,,7,,
2760265,181431,2024-02-21,Clothing,Cotton T-Shirt,1,23.61,0,23.61,27.99,2.36,53.96,Credit Card,Delivered,Next-Day,Mobile App,,1,4.0,
2621912,525803,2024-02-21,Clothing,Cotton T-Shirt,1,30.61,25,22.96,5.99,1.38,30.33,Credit Card,Delivered,Standard,Mobile App,FLASH30,7,,
5250255,636916,2024-02-22,Electronics,Laptop Stand,3,1148.2,0,3444.6,12.99,206.68,3664.27,Credit Card,Delivered,Express,Mobile App,,3,,
9825337,659481,2024-02-24,Electronics,Streaming Media Player,1,339.35,0,339.35,0.0,27.15,366.5,Credit Card,Delivered,Standard,Mobile App,,7,,
1351566,959532,2024-02-24,Grocery,Mixed Nuts Pack,2,7.5,0,15.0,14.99,1.24,31.23,Gift Card,Delivered,Express,Website,,3,,
5031596,697324,2024-02-24,Electronics,Wireless Earbuds,1,248.68,5,236.25,24.99,19.49,280.73,Credit Card,Delivered,Next-Day,Website,SUMMER10,1,2.0,
7813233,359971,2024-02-25,Office Supplies,Printer Paper Ream,1,193.75,0,193.75,0.0,12.11,205.86,Google Pay,Delivered,Standard,Mobile App,,7,5.0,
4930439,368795,2024-02-26,Books,Mystery Novel,2,34.07,0,68.14,14.99,4.09,87.22,PayPal,Delivered,Express,Mobile App,,3,5.0,
1280606,352917,2024-02-26,Clothing,Cotton T-Shirt,1,22.44,0,22.44,0.0,1.35,23.79,PayPal,Delivered,Free Pickup,Marketplace,,0,,
5007114,257536,2024-02-27,Electronics,4K Smart TV,1,889.47,20,711.58,0.0,92.51,804.09,PayPal,Returned,Standard,Mobile App,SAVE20,7,,Not as Described
1336707,992497,2024-02-28,Sports & Outdoors,Camping Tent,1,89.06,0,89.06,0.0,7.12,96.18,Google Pay,Delivered,Standard,Mobile App,,7,4.0,
8881683,108917,2024-02-28,Toys & Games,Educational STEM Kit,4,30.91,0,123.64,0.0,10.2,133.84,PayPal,Delivered,Standard,Marketplace,,7,,
9463987,629305,2024-03-01,Grocery,Pasta Variety Pack,2,13.19,0,26.38,5.99,2.18,34.55,Credit Card,Delivered,Standard,Mobile App,,7,5.0,
2057702,642033,2024-03-01,Home & Kitchen,Cotton Bed Sheets,3,82.01,0,246.03,12.99,14.76,273.78,Gift Card,Delivered,Express,Mobile App,,3,5.0,
9797340,678850,2024-03-02,Electronics,4K Smart TV,1,644.2,0,644.2,12.99,40.26,697.45,Google Pay,Delivered,Express,Website,,3,,
5660836,697324,2024-03-03,Sports & Outdoors,Fishing Rod,1,199.78,25,149.84,0.0,12.36,162.2,Credit Card,Delivered,Standard,Website,SAVE20,7,4.0,
8637850,831938,2024-03-03,Electronics,4K Smart TV,1,387.01,0,387.01,12.99,24.19,424.19,Debit Card,Returned,Express,Website,,3,,Changed Mind
2050124,346532,2024-03-03,Electronics,Noise-Cancelling Headphones,2,524.33,0,1048.66,0.0,62.92,1111.58,Credit Card,Delivered,Standard,Website,,7,,
4617358,568238,2024-03-04,Sports & Outdoors,Resistance Bands Set,1,69.58,0,69.58,27.99,5.74,103.31,PayPal,Cancelled,Next-Day,Mobile App,,1,,
4950016,652739,2024-03-05,Beauty & Personal Care,Perfume,2,19.28,10,34.7,5.99,2.08,42.77,Credit Card,Delivered,Standard,Website,WELCOME10,7,,
7562388,847491,2024-03-05,Clothing,Summer Dress,3,34.88,25,78.48,0.0,10.2,88.68,Apple Pay,Delivered,Standard,Website,WELCOME10,7,4.0,
5896735,856360,2024-03-07,Electronics,Portable Charger,1,63.9,20,51.12,5.99,3.2,60.31,Debit Card,Delivered,Standard,Website,FREESHIP,7,4.0,
2754267,202299,2024-03-07,Electronics,Streaming Media Player,2,102.85,0,205.7,0.0,16.46,222.16,Credit Card,Delivered,Standard,Mobile App,,7,4.0,
7246298,315385,2024-03-07,Home & Kitchen,LED Desk Lamp,1,271.51,0,271.51,12.99,16.97,301.47,Credit Card,Delivered,Express,Website,,3,4.0,
7530757,586006,2024-03-08,Electronics,Smartphone Case,2,397.67,5,755.57,0.0,47.22,802.79,Gift Card,Delivered,Standard,Website,VIP15,7,4.0,
9996629,764665,2024-03-10,Clothing,Running Shoes,1,54.18,0,54.18,5.99,3.25,63.42,Apple Pay,Delivered,Standard,Marketplace,,7,4.0,
1082287,350253,2024-03-11,Clothing,Running Shoes,1,29.93,0,29.93,5.99,1.8,37.72,Debit Card,Delivered,Standard,Website,,7,,
9136112,340088,2024-03-12,Books,Fantasy Trilogy Box Set,3,20.2,0,60.6,5.99,3.64,70.23,Credit Card,Delivered,Standard,Mobile App,,7,5.0,
3907572,411928,2024-03-12,Grocery,Green Tea Bags,4,9.12,10,32.83,5.99,1.97,40.79,Credit Card,Delivered,Standard,Website,SAVE20,7,3.0,
9609116,147717,2024-03-13,Clothing,Wool Sweater,3,149.72,0,449.16,24.99,28.07,502.22,PayPal,Delivered,Next-Day,Website,,1,4.0,
1709291,756541,2024-03-13,Books,Mystery Novel,1,23.05,0,23.05,5.99,3.0,32.04,Credit Card,Delivered,Standard,Website,,7,,
2021263,625244,2024-03-13,Clothing,Rain Jacket,4,180.0,5,684.0,0.0,56.43,740.43,Debit Card,Delivered,Standard,Website,SUMMER10,7,4.0,
8396762,349162,2024-03-14,Clothing,Running Shoes,1,64.05,0,64.05,5.99,5.28,75.32,Debit Card,Cancelled,Standard,Mobile App,,7,,
1319422,365762,2024-03-15,Home & Kitchen,LED Desk Lamp,1,194.62,0,194.62,0.0,19.46,214.08,Credit Card,Delivered,Standard,Mobile App,,7,4.0,
9772493,177411,2024-03-15,Grocery,Pasta Variety Pack,4,13.81,0,55.24,14.99,3.31,73.54,Credit Card,Delivered,Express,Website,,3,4.0,
7411696,745022,2024-03-15,Toys & Games,Puzzle 1000pc,2,27.7,10,49.86,5.99,3.99,59.84,Credit Card,Delivered,Standard,Mobile App,WELCOME10,7,,
1724909,528196,2024-03-15,Clothing,Summer Dress,3,40.06,0,120.18,0.0,7.51,127.69,Google Pay,Delivered,Standard,Website,,7,4.0,
3742608,355903,2024-03-16,Home & Kitchen,Non-Stick Frying Pan,1,167.56,0,167.56,12.99,10.47,191.02,Credit Card,Returned,Express,Website,,3,,Better Price Found
3194010,388826,2024-03-16,Home & Kitchen,Vacuum Cleaner,1,144.28,0,144.28,12.99,11.9,169.17,Credit Card,Delivered,Express,Mobile App,,3,5.0,
3408937,762085,2024-03-16,Clothing,Cotton T-Shirt,3,33.56,0,100.68,12.99,16.11,129.78,Gift Card,Delivered,Express,Mobile App,,3,3.0,
2955453,145116,2024-03-17,Clothing,Rain Jacket,2,56.29,15,95.69,12.99,9.57,118.25,Credit Card,Returned,Express,Website,HOLIDAY25,3,,Arrived Late
6206532,522163,2024-03-17,Toys & Games,Action Figure,2,36.81,0,73.62,14.99,9.57,98.18,Debit Card,Delivered,Express,Marketplace,,3,4.0,
2393763,684370,2024-03-17,Grocery,Organic Coffee Beans,3,15.21,0,45.63,5.99,3.76,55.38,Credit Card,Shipped,Standard,Website,,7,,
6557249,385214,2024-03-18,Pet Supplies,Cat Litter Box,3,45.95,0,137.85,12.99,11.37,162.21,Credit Card,Cancelled,Express,Marketplace,,3,,
4496607,889948,2024-03-20,Books,Mystery Novel,1,40.84,0,40.84,14.99,3.27,59.1,Credit Card,Delivered,Express,Website,,3,4.0,
6564320,527694,2024-03-21,Home & Kitchen,Air Fryer,1,169.63,0,169.63,0.0,13.57,183.2,Credit Card,Delivered,Standard,Marketplace,,7,4.0,
4290421,714776,2024-03-22,Clothing,Rain Jacket,1,44.62,0,44.62,5.99,2.79,53.4,Apple Pay,Shipped,Standard,Mobile App,,7,,
7442293,138889,2024-03-22,Electronics,Streaming Media Player,1,211.58,0,211.58,0.0,12.69,224.27,Credit Card,Delivered,Standard,Mobile App,,7,,
7530486,248546,2024-03-23,Beauty & Personal Care,Skincare Gift Set,7,25.35,30,124.22,0.0,10.25,134.47,Debit Card,Cancelled,Standard,Website,SUMMER10,7,,
4119409,800785,2024-03-23,Home & Kitchen,Cutlery Set,1,258.01,0,258.01,0.0,21.29,279.3,Google Pay,Returned,Standard,Website,,7,,Better Price Found
7933175,764214,2024-03-24,Sports & Outdoors,Insulated Water Bottle,3,73.7,0,221.1,0.0,13.27,234.37,Credit Card,Delivered,Free Pickup,Website,,0,4.0,
2909271,941827,2024-03-24,Beauty & Personal Care,Vitamin C Serum,3,53.86,0,161.58,24.99,9.69,196.26,PayPal,Cancelled,Next-Day,Website,,1,,
2763725,122359,2024-03-26,Pet Supplies,Dog Bed,2,32.69,5,62.11,5.99,5.12,73.22,Apple Pay,Cancelled,Standard,Website,VIP15,7,,
7715794,312879,2024-03-26,Clothing,Winter Parka,1,79.02,0,79.02,0.0,6.52,85.54,Debit Card,Delivered,Standard,Marketplace,,7,,
4380535,242120,2024-03-26,Clothing,Men's Denim Jacket,2,53.31,20,85.3,0.0,5.12,90.42,Credit Card,Returned,Standard,Website,FLASH30,7,,Wrong Size
6944495,314695,2024-03-26,Home & Kitchen,Ceramic Dinnerware Set,1,284.84,0,284.84,0.0,17.09,301.93,Credit Card,Delivered,Standard,Mobile App,,7,5.0,
1952282,889948,2024-03-27,Office Supplies,Desk Organizer,6,111.22,0,667.32,0.0,40.04,707.36,PayPal,Delivered,Standard,Mobile App,,7,5.0,
7060389,138889,2024-03-28,Toys & Games,Doll House,1,15.63,0,15.63,5.99,0.98,22.6,Debit Card,Delivered,Standard,Website,,7,4.0,
3483570,476035,2024-03-28,Grocery,Protein Bar Box,3,18.21,0,54.63,14.99,8.74,78.36,PayPal,Delivered,,Website,,3,4.0,
4606476,202299,2024-03-28,Beauty & Personal Care,Skincare Gift Set,3,95.0,0,285.0,0.0,57.0,342.0,Gift Card,Delivered,Standard,Marketplace,,7,5.0,
5677621,963727,2024-03-28,Electronics,Bluetooth Speaker,1,609.23,0,609.23,0.0,36.55,645.78,Credit Card,Delivered,Standard,Website,,7,1.0,
2360348,236288,2024-03-28,Books,Mystery Novel,2,12.18,0,24.36,5.99,1.46,31.81,Debit Card,Delivered,Standard,Mobile App,,7,5.0,
2793420,324340,2024-03-28,Electronics,Mechanical Keyboard,1,207.83,0,207.83,0.0,12.99,220.82,PayPal,Shipped,Standard,Website,,7,,
3019110,636916,2024-03-28,Clothing,Wool Sweater,3,126.58,0,379.74,0.0,23.73,403.47,Credit Card,Cancelled,Standard,Mobile App,,7,,
5330079,670693,2024-03-28,Home & Kitchen,Air Fryer,1,59.35,0,59.35,27.99,4.9,92.24,Debit Card,Delivered,Next-Day,Website,,1,5.0,
3273204,570736,2024-03-31,Sports & Outdoors,Mountain Bike Helmet,1,113.03,0,113.03,0.0,6.78,119.81,Debit Card,Delivered,Standard,Mobile App,,7,4.0,
9450220,457597,2024-04-01,Home & Kitchen,Memory Foam Pillow,2,112.07,20,179.31,12.99,14.79,207.09,Debit Card,Delivered,Express,Website,HOLIDAY25,3,,
4989293,543108,2024-04-01,Electronics,Wireless Mouse,2,646.53,30,905.14,12.99,74.67,992.8,PayPal,Returned,Express,Mobile App,FLASH30,3,,Not as Described
2663767,992549,2024-04-01,Home & Kitchen,Cutlery Set,2,37.63,0,75.26,12.99,6.21,94.46,Google Pay,Cancelled,Express,Mobile App,,3,,
2542350,531320,2024-04-02,Electronics,Smartphone Case,1,65.76,0,65.76,27.99,3.95,97.7,Credit Card,Delivered,Next-Day,Website,,1,,
6080392,522293,2024-04-02,Office Supplies,Ergonomic Office Chair,1,36.96,0,36.96,5.99,2.22,45.17,PayPal,Delivered,Standard,Website,,7,5.0,
7949339,383904,2024-04-02,Electronics,Wireless Mouse,1,632.24,0,632.24,0.0,39.52,671.76,Credit Card,Delivered,Free Pickup,Marketplace,,0,4.0,
7522398,400647,2024-04-03,Electronics,Noise-Cancelling Headphones,3,670.91,0,2012.73,24.99,166.05,2203.77,Credit Card,Returned,Next-Day,Marketplace,,1,,Better Price Found
6563033,597542,2024-04-03,Home & Kitchen,Ceramic Dinnerware Set,1,72.14,0,72.14,5.99,5.77,83.9,Credit Card,Delivered,Standard,Mobile App,,7,5.0,
3697919,999753,2024-04-03,Electronics,Laptop Stand,3,373.56,25,840.51,24.99,67.24,932.74,PayPal,Delivered,Next-Day,Mobile App,FLASH30,1,1.0,
8733283,305163,2024-04-03,Clothing,Slim Fit Jeans,4,56.09,0,224.36,0.0,17.95,242.31,PayPal,Returned,Standard,Mobile App,,7,,Better Price Found
5806060,992549,2024-04-04,Home & Kitchen,Memory Foam Pillow,1,54.42,0,54.42,5.99,3.27,63.68,Apple Pay,Delivered,Standard,Marketplace,,7,1.0,
9078443,805419,2024-04-04,Home & Kitchen,Coffee Maker,3,113.22,0,339.66,0.0,20.38,360.04,Credit Card,Delivered,Standard,Website,,7,3.0,
3722073,924384,2024-04-04,Electronics,Noise-Cancelling Headphones,1,492.73,0,492.73,12.99,40.65,546.37,Google Pay,Delivered,Express,Marketplace,,3,4.0,
7106443,805607,2024-04-05,Sports & Outdoors,Insulated Water Bottle,1,60.9,0,60.9,0.0,3.81,64.71,Debit Card,Delivered,Free Pickup,Website,,0,5.0,
1214845,554597,2024-04-05,Clothing,Cotton T-Shirt,1,180.0,0,180.0,0.0,28.8,208.8,Debit Card,Delivered,Standard,Mobile App,,7,4.0,
6489884,874360,2024-04-05,Electronics,Wireless Mouse,1,109.85,0,109.85,0.0,6.59,116.44,PayPal,Delivered,Standard,Mobile App,,7,5.0,
8781047,585787,2024-04-05,Books,Mystery Novel,2,10.58,0,21.16,5.99,1.27,28.42,Credit Card,Delivered,Standard,Website,,7,,
3516397,454090,2024-04-06,Beauty & Personal Care,Facial Moisturizer,1,18.69,0,18.69,5.99,2.43,27.11,Credit Card,Delivered,Standard,Mobile App,,7,2.0,
8651235,806986,2024-04-06,Electronics,Wireless Mouse,2,473.08,0,946.16,12.99,123.0,1082.15,Credit Card,Returned,Express,Website,,3,,Arrived Late
4845427,806986,2024-04-07,Clothing,Running Shoes,3,22.54,0,67.62,5.99,4.06,77.67,Credit Card,Delivered,Standard,Website,,7,,
3088145,903815,2024-04-07,Home & Kitchen,Coffee Maker,2,48.16,10,86.69,24.99,5.2,116.88,Debit Card,Returned,Next-Day,Website,FREESHIP,1,,Defective Item
8121162,231485,2024-04-07,Toys & Games,Action Figure,2,65.17,0,130.34,0.0,7.82,138.16,Debit Card,Cancelled,Standard,Website,,7,,
4076109,585787,2024-04-07,Grocery,Granola Cereal,2,43.12,25,64.68,14.99,3.88,83.55,PayPal,Delivered,Express,Mobile App,VIP15,3,4.0,
9552996,974063,2024-04-07,Clothing,Rain Jacket,3,47.21,0,141.63,0.0,11.68,153.31,PayPal,Delivered,Standard,Website,,7,5.0,
4602708,729750,2024-04-08,Electronics,Noise-Cancelling Headphones,1,311.6,0,311.6,12.99,18.7,343.29,Credit Card,Delivered,Express,Website,,3,1.0,
2643422,304008,2024-04-08,Beauty & Personal Care,Skincare Gift Set,5,18.06,0,90.3,0.0,7.45,97.75,Debit Card,Delivered,Standard,Marketplace,,7,4.0,
8094865,581702,2024-04-10,Toys & Games,Plush Teddy Bear,1,30.71,0,30.71,5.99,2.53,39.23,Credit Card,Delivered,Standard,Website,,7,5.0,
7109578,353006,2024-04-10,Beauty & Personal Care,Facial Moisturizer,1,20.67,0,20.67,5.99,1.65,28.31,Credit Card,Delivered,Standard,Website,,7,,
8925203,159870,2024-04-11,Clothing,Winter Parka,1,22.64,0,22.64,5.99,2.94,31.57,PayPal,Delivered,Standard,Website,,7,,
8244393,490092,2024-04-12,Home & Kitchen,Cutlery Set,1,110.97,0,110.97,0.0,8.88,119.85,Credit Card,Delivered,Standard,Mobile App,,7,4.0,
2073189,815357,2024-04-13,Sports & Outdoors,Fitness Tracker Watch,1,43.16,0,43.16,5.99,2.59,51.74,Credit Card,Delivered,Standard,Website,,7,5.0,
7088516,249284,2024-04-13,Home & Kitchen,Cutlery Set,2,70.05,0,140.1,0.0,8.41,148.51,Apple Pay,Delivered,Standard,Marketplace,,7,,
4173624,107065,2024-04-13,Clothing,Women's Yoga Pants,3,58.35,30,122.54,0.0,7.35,129.89,Gift Card,Delivered,Standard,Website,SUMMER10,7,5.0,
4831613,953629,2024-04-13,Electronics,Wireless Mouse,1,643.03,0,643.03,0.0,40.19,683.22,Apple Pay,Delivered,Free Pickup,Website,,0,,
8398632,761074,2024-04-13,Home & Kitchen,Cutlery Set,1,71.4,0,71.4,14.99,5.71,92.1,Credit Card,Delivered,Express,Marketplace,,3,3.0,
2571555,549826,2024-04-14,Electronics,4K Smart TV,1,408.61,0,408.61,0.0,24.52,433.13,Debit Card,Delivered,Free Pickup,Mobile App,,0,5.0,
8863892,764665,2024-04-14,Office Supplies,Desk Organizer,1,139.15,0,139.15,0.0,13.92,153.07,Debit Card,Returned,Standard,Website,,7,,Better Price Found
3195753,355464,2024-04-14,Toys & Games,Remote Control Car,1,14.38,0,14.38,5.99,0.9,21.27,PayPal,Delivered,Standard,Mobile App,,7,,
7870196,956979,2024-04-14,Home & Kitchen,Air Fryer,2,200.26,20,320.42,12.99,26.43,359.84,Credit Card,Cancelled,Express,Marketplace,SAVE20,3,,
6932282,870294,2024-04-14,Beauty & Personal Care,Sunscreen SPF50,1,9.84,5,9.35,14.99,0.56,24.9,PayPal,Delivered,Express,Website,SAVE20,3,5.0,
